serial,thread,speedup,nthreads
358.782,223.354,1.61,3
360.545,149.283,2.42,4
353.203,147.747,2.39,5
360.053,114.216,3.15,6
353.524,108.806,3.25,7
431.500,111.566,3.87,8
319.723,78.416,4.08,9
430.543,93.856,4.59,10
352.905,72.706,4.85,11
354.395,65.300,5.43,12
353.983,62.111,5.70,13
352.951,56.778,6.22,14
353.728,56.498,6.26,15
360.857,58.398,6.18,16
353.420,62.648,5.64,17
354.014,58.946,6.01,18
354.343,59.592,5.95,19
368.640,60.900,6.05,20
393.926,63.028,6.25,21
320.079,49.917,6.41,22
380.897,55.495,6.86,23
354.772,53.475,6.63,24
354.828,52.814,6.72,25
369.052,56.053,6.58,26
353.657,52.478,6.74,27
352.400,51.513,6.84,28
378.874,55.229,6.86,29
354.532,51.459,6.89,30
378.158,56.230,6.73,31
354.000,52.115,6.79,32
436.630,436.461,1.00,1
373.880,189.008,1.98,2
432.154,267.176,1.62,3
360.147,150.817,2.39,4
436.434,180.987,2.41,5
360.958,114.976,3.14,6
435.967,133.420,3.27,7
353.198,90.976,3.88,8
360.546,87.838,4.10,9
353.477,76.045,4.65,10
348.792,71.689,4.87,11
434.036,79.910,5.43,12
348.569,61.350,5.68,13
343.596,55.272,6.22,14
348.204,57.779,6.03,15
345.685,57.900,5.97,16
352.864,57.802,6.10,17
403.124,73.184,5.51,18
429.326,76.091,5.64,19
346.008,58.644,5.90,20
436.673,70.862,6.16,21
345.933,54.995,6.29,22
347.904,51.889,6.70,23
346.509,51.748,6.70,24
346.674,53.417,6.49,25
361.185,56.341,6.41,26
360.826,55.566,6.49,27
345.744,51.948,6.66,28
399.319,58.488,6.83,29
327.641,48.166,6.80,30
344.256,49.830,6.91,31
437.247,65.459,6.68,32
410.141,411.862,1.00,1
348.616,176.126,1.98,2
431.053,267.122,1.61,3
347.342,144.101,2.41,4
436.397,180.842,2.41,5
353.009,112.647,3.13,6
432.506,133.400,3.24,7
348.423,90.524,3.85,8
436.408,106.210,4.11,9
347.517,74.467,4.67,10
429.899,88.927,4.83,11
346.389,64.187,5.40,12
348.617,61.324,5.68,13
348.662,55.793,6.25,14
348.573,55.648,6.26,15
319.437,56.233,5.68,16
348.239,56.639,6.15,17
347.213,62.791,5.53,18
374.097,63.199,5.92,19
347.809,57.131,6.09,20
346.040,55.869,6.19,21
335.336,51.430,6.52,22
348.095,51.522,6.76,23
348.713,53.091,6.57,24
436.072,67.260,6.48,25
345.759,52.022,6.65,26
435.449,65.255,6.67,27
398.559,58.488,6.81,28
346.074,54.689,6.33,29
435.411,64.624,6.74,30
436.208,67.043,6.51,31
355.726,56.191,6.33,32
345.785,349.004,0.99,1
436.216,218.967,1.99,2
347.799,215.420,1.61,3
356.725,149.863,2.38,4
324.758,135.848,2.39,5
429.577,137.776,3.12,6
366.237,113.490,3.23,7
430.688,111.798,3.85,8
347.111,84.860,4.09,9
430.242,93.409,4.61,10
372.345,76.978,4.84,11
346.035,64.157,5.39,12
359.554,63.470,5.66,13
426.621,67.717,6.30,14
411.448,66.848,6.15,15
360.210,58.788,6.13,16
435.202,70.553,6.17,17
348.346,58.658,5.94,18
356.979,58.279,6.13,19
325.815,48.713,6.69,20
356.892,58.918,6.06,21
360.858,56.146,6.43,22
327.058,51.923,6.30,23
357.129,56.689,6.30,24
357.729,52.923,6.76,25
349.197,54.016,6.46,26
349.689,54.180,6.45,27
319.368,49.304,6.48,28
360.549,53.960,6.68,29
355.135,52.409,6.78,30
345.558,52.117,6.63,31
355.451,51.395,6.92,32
357.354,357.538,1.00,1
399.633,201.409,1.98,2
353.112,219.941,1.61,3
366.027,154.172,2.37,4
369.056,154.036,2.40,5
415.110,133.344,3.11,6
348.889,107.108,3.26,7
361.374,92.831,3.89,8
347.928,84.879,4.10,9
350.258,74.648,4.69,10
345.950,71.491,4.84,11
325.340,60.010,5.42,12
360.634,63.106,5.71,13
348.379,55.846,6.24,14
335.591,54.003,6.21,15
386.106,67.521,5.72,16
360.820,62.587,5.77,17
346.303,58.404,5.93,18
355.680,61.521,5.78,19
361.144,60.356,5.98,20
346.429,54.703,6.33,21
355.284,55.604,6.39,22
360.923,54.725,6.60,23
355.981,56.566,6.29,24
360.731,54.297,6.64,25
355.661,52.913,6.72,26
346.395,53.409,6.49,27
430.719,64.214,6.71,28
373.779,56.615,6.60,29
348.197,54.977,6.33,30
397.905,57.952,6.87,31
324.170,50.563,6.41,32
345.821,349.964,0.99,1
432.897,218.875,1.98,2
352.407,218.688,1.61,3
405.205,167.192,2.42,4
363.143,151.441,2.40,5
424.974,135.258,3.14,6
360.341,110.461,3.26,7
436.779,112.872,3.87,8
357.401,87.085,4.10,9
435.609,92.521,4.71,10
360.658,73.042,4.94,11
355.452,66.291,5.36,12
356.964,63.164,5.65,13
436.677,69.763,6.26,14
361.039,57.376,6.29,15
361.040,58.468,6.17,16
361.036,62.190,5.81,17
348.969,58.912,5.92,18
319.553,54.796,5.83,19
361.007,59.286,6.09,20
346.480,55.227,6.27,21
435.949,63.285,6.89,22
348.035,53.748,6.48,23
350.125,52.048,6.73,24
348.757,56.511,6.17,25
436.271,66.503,6.56,26
436.374,65.547,6.66,27
346.018,51.155,6.76,28
430.057,64.442,6.67,29
347.173,52.295,6.64,30
436.836,64.853,6.74,31
355.497,54.319,6.54,32
346.245,349.871,0.99,1
436.830,219.435,1.99,2
348.362,215.328,1.62,3
431.565,181.996,2.37,4
351.695,147.111,2.39,5
429.951,138.041,3.11,6
353.157,108.633,3.25,7
429.715,111.703,3.85,8
378.742,92.722,4.08,9
430.116,93.336,4.61,10
345.387,71.003,4.86,11
430.464,79.833,5.39,12
356.974,63.184,5.65,13
359.797,57.834,6.22,14
360.572,57.313,6.29,15
437.043,68.405,6.39,16
325.197,55.272,5.88,17
357.750,59.321,6.03,18
357.067,61.094,5.84,19
354.664,60.053,5.91,20
352.635,55.310,6.38,21
355.641,56.011,6.35,22
349.201,54.670,6.39,23
400.676,61.911,6.47,24
354.080,53.459,6.62,25
347.410,52.369,6.63,26
352.485,52.215,6.75,27
326.025,48.062,6.78,28
325.426,47.769,6.81,29
399.162,57.463,6.95,30
353.995,52.129,6.79,31
370.490,58.185,6.37,32
348.223,349.319,1.00,1
432.455,218.258,1.98,2
348.727,216.730,1.61,3
431.462,180.900,2.39,4
348.615,145.651,2.39,5
430.235,138.302,3.11,6
348.506,107.360,3.25,7
435.256,111.885,3.89,8
348.162,84.849,4.10,9
430.594,93.676,4.60,10
349.329,71.222,4.90,11
345.611,64.122,5.39,12
346.984,61.356,5.66,13
346.383,55.674,6.22,14
323.629,51.716,6.26,15
359.279,58.791,6.11,16
416.112,69.794,5.96,17
360.709,64.617,5.58,18
389.092,68.523,5.68,19
360.300,59.951,6.01,20
325.551,50.994,6.38,21
360.934,57.180,6.31,22
369.918,57.137,6.47,23
353.975,53.006,6.68,24
339.491,50.931,6.67,25
355.002,54.907,6.47,26
366.147,55.890,6.55,27
348.319,52.514,6.63,28
346.454,53.295,6.50,29
325.345,48.967,6.64,30
429.537,63.196,6.80,31
346.202,52.818,6.55,32
343.249,342.725,1.00,1
348.235,176.257,1.98,2
437.440,268.124,1.63,3
348.727,144.392,2.42,4
356.605,150.083,2.38,5
325.772,103.819,3.14,6
430.450,133.304,3.23,7
345.638,89.784,3.85,8
436.162,106.360,4.10,9
348.641,74.764,4.66,10
436.816,89.249,4.89,11
327.953,60.015,5.46,12
378.219,66.924,5.65,13
435.959,69.390,6.28,14
345.858,56.084,6.17,15
435.883,70.136,6.21,16
360.848,61.050,5.91,17
360.278,60.999,5.91,18
397.136,65.895,6.03,19
352.082,59.478,5.92,20
360.572,58.628,6.15,21
360.865,55.648,6.48,22
431.970,68.615,6.30,23
360.877,54.728,6.59,24
354.464,53.072,6.68,25
351.325,52.533,6.69,26
343.883,52.273,6.58,27
349.437,52.850,6.61,28
348.416,52.579,6.63,29
398.353,57.923,6.88,30
319.705,47.917,6.67,31
373.648,57.163,6.54,32
389.559,390.439,1.00,1
356.683,180.426,1.98,2
385.326,236.130,1.63,3
348.730,144.558,2.41,4
366.290,154.116,2.38,5
365.003,116.335,3.14,6
431.337,133.094,3.24,7
345.604,89.700,3.85,8
355.876,87.363,4.07,9
345.592,74.350,4.65,10
439.685,89.513,4.91,11
347.926,64.126,5.43,12
363.357,64.703,5.62,13
348.420,55.624,6.26,14
341.421,54.996,6.21,15
435.722,70.941,6.14,16
361.237,61.365,5.89,17
356.464,60.046,5.94,18
420.319,67.304,6.25,19
359.046,59.501,6.03,20
361.133,57.323,6.30,21
351.012,54.579,6.43,22
357.682,52.759,6.78,23
354.541,53.465,6.63,24
361.085,54.572,6.62,25
361.295,56.608,6.38,26
355.826,55.096,6.46,27
347.805,53.113,6.55,28
319.731,49.786,6.42,29
361.151,55.314,6.53,30
345.391,51.618,6.69,31
355.654,53.212,6.68,32
383.222,383.131,1.00,1
347.660,176.517,1.97,2
437.351,268.319,1.63,3
361.227,149.543,2.42,4
437.412,181.602,2.41,5
347.859,111.550,3.12,6
430.062,133.178,3.23,7
349.009,90.547,3.85,8
436.246,105.969,4.12,9
347.778,75.144,4.63,10
430.647,88.310,4.88,11
348.578,64.058,5.44,12
361.457,63.728,5.67,13
360.571,57.398,6.28,14
355.629,57.470,6.19,15
403.957,63.557,6.36,16
358.242,61.519,5.82,17
360.686,60.836,5.93,18
403.155,65.025,6.20,19
355.017,57.252,6.20,20
349.440,57.634,6.06,21
413.176,64.090,6.45,22
353.206,53.971,6.54,23
348.219,53.596,6.50,24
355.808,54.353,6.55,25
347.896,55.692,6.25,26
360.738,53.870,6.70,27
347.534,51.172,6.79,28
351.834,52.251,6.73,29
401.895,61.066,6.58,30
355.872,51.892,6.86,31
360.618,57.235,6.30,32
319.208,322.191,0.99,1
402.724,202.322,1.99,2
347.924,215.348,1.62,3
415.446,175.160,2.37,4
348.432,145.535,2.39,5
420.649,133.396,3.15,6
347.694,107.427,3.24,7
403.090,103.797,3.88,8
361.445,88.054,4.10,9
356.947,76.098,4.69,10
359.092,74.043,4.85,11
360.077,66.582,5.41,12
320.988,56.961,5.64,13
357.485,57.592,6.21,14
410.788,65.486,6.27,15
352.721,62.580,5.64,16
353.583,64.469,5.48,17
357.111,64.384,5.55,18
349.012,57.266,6.09,19
348.613,58.779,5.93,20
356.101,58.633,6.07,21
347.757,54.784,6.35,22
347.394,55.025,6.31,23
346.699,55.054,6.30,24
380.559,59.285,6.42,25
325.321,49.499,6.57,26
355.611,55.751,6.38,27
346.725,51.080,6.79,28
361.039,53.104,6.80,29
355.421,51.968,6.84,30
327.452,51.704,6.33,31
346.439,54.259,6.38,32
403.583,403.148,1.00,1
347.735,176.599,1.97,2
431.165,267.294,1.61,3
349.447,147.082,2.38,4
437.032,181.314,2.41,5
361.520,115.861,3.12,6
437.017,133.652,3.27,7
358.041,92.297,3.88,8
356.949,87.303,4.09,9
319.630,69.464,4.60,10
432.905,89.176,4.85,11
348.792,63.845,5.46,12
433.558,76.451,5.67,13
348.495,55.773,6.25,14
348.157,55.644,6.26,15
347.945,56.709,6.14,16
348.004,59.726,5.83,17
348.862,62.770,5.56,18
346.513,59.986,5.78,19
346.119,58.394,5.93,20
346.297,57.024,6.07,21
346.471,54.800,6.32,22
346.327,55.077,6.29,23
346.404,56.187,6.17,24
436.414,67.274,6.49,25
345.804,54.385,6.36,26
440.783,69.564,6.34,27
361.111,54.677,6.60,28
345.799,51.578,6.70,29
345.920,53.360,6.48,30
429.515,65.834,6.52,31
323.669,47.557,6.81,32
416.017,417.572,1.00,1
361.065,181.036,1.99,2
358.163,221.389,1.62,3
355.885,149.601,2.38,4
355.883,148.336,2.40,5
436.538,138.473,3.15,6
351.286,108.860,3.23,7
436.718,112.203,3.89,8
347.542,84.897,4.09,9
430.260,92.528,4.65,10
345.561,71.558,4.83,11
373.715,69.169,5.40,12
436.594,76.330,5.72,13
348.131,55.807,6.24,14
355.279,57.664,6.16,15
414.812,67.145,6.18,16
333.106,55.258,6.03,17
395.738,70.291,5.63,18
347.432,59.712,5.82,19
345.614,60.164,5.74,20
360.751,57.565,6.27,21
355.479,59.051,6.02,22
345.577,54.890,6.30,23
346.109,54.389,6.36,24
345.705,54.434,6.35,25
365.425,58.654,6.23,26
430.344,66.628,6.46,27
360.533,54.020,6.67,28
358.392,52.297,6.85,29
319.240,49.267,6.48,30
337.462,54.083,6.24,31
353.433,52.639,6.71,32
354.079,354.422,1.00,1
432.156,218.640,1.98,2
324.086,200.107,1.62,3
355.832,149.849,2.37,4
353.318,148.230,2.38,5
435.825,137.577,3.17,6
359.005,110.977,3.23,7
436.123,113.898,3.83,8
347.757,84.873,4.10,9
435.753,93.602,4.66,10
347.695,71.536,4.86,11
437.237,79.812,5.48,12
345.935,61.334,5.64,13
345.590,55.729,6.20,14
348.016,58.185,5.98,15
348.458,56.759,6.14,16
345.868,58.380,5.92,17
346.256,59.088,5.86,18
415.609,70.400,5.90,19
360.602,55.283,6.52,20
356.615,56.892,6.27,21
361.019,55.613,6.49,22
356.890,55.757,6.40,23
360.931,56.869,6.35,24
436.166,65.807,6.63,25
355.971,57.503,6.19,26
360.617,54.861,6.57,27
345.765,51.891,6.66,28
345.753,50.993,6.78,29
345.852,54.679,6.33,30
436.453,66.854,6.53,31
360.979,53.688,6.72,32
345.895,349.124,0.99,1
436.912,219.460,1.99,2
351.211,217.536,1.61,3
355.494,149.759,2.37,4
348.698,145.550,2.40,5
429.486,138.684,3.10,6
348.610,107.124,3.25,7
435.592,112.086,3.89,8
348.301,84.826,4.11,9
436.036,92.473,4.72,10
359.313,74.136,4.85,11
334.933,62.032,5.40,12
326.464,58.197,5.61,13
354.702,56.733,6.25,14
429.759,69.760,6.16,15
437.037,70.791,6.17,16
320.877,54.189,5.92,17
360.833,61.687,5.85,18
352.971,60.265,5.86,19
416.737,66.636,6.25,20
329.754,51.539,6.40,21
325.715,50.072,6.50,22
325.895,48.392,6.73,23
357.660,54.593,6.55,24
346.406,52.681,6.58,25
355.506,54.541,6.52,26
430.528,65.273,6.60,27
348.287,51.685,6.74,28
349.290,53.052,6.58,29
346.463,53.518,6.47,30
346.423,55.531,6.24,31
325.683,48.338,6.74,32
434.040,437.702,0.99,1
432.177,218.623,1.98,2
349.500,216.948,1.61,3
402.035,166.139,2.42,4
351.729,146.957,2.39,5
435.336,137.965,3.16,6
352.722,108.512,3.25,7
413.217,107.167,3.86,8
353.468,86.044,4.11,9
436.025,92.677,4.70,10
351.089,71.705,4.90,11
351.291,64.860,5.42,12
326.042,57.350,5.69,13
436.086,69.187,6.30,14
348.001,55.929,6.22,15
355.637,63.087,5.64,16
435.835,73.914,5.90,17
360.836,63.822,5.65,18
346.370,59.160,5.85,19
348.701,56.831,6.14,20
398.630,65.094,6.12,21
348.362,54.441,6.40,22
348.074,54.001,6.45,23
348.434,52.705,6.61,24
366.825,56.554,6.49,25
429.801,66.667,6.45,26
348.392,52.853,6.59,27
349.807,52.853,6.62,28
360.814,56.489,6.39,29
355.838,52.384,6.79,30
360.671,51.706,6.98,31
360.789,54.307,6.64,32
324.871,324.206,1.00,1
353.132,178.582,1.98,2
433.811,267.287,1.62,3
360.533,148.303,2.43,4
348.285,145.596,2.39,5
415.713,133.997,3.10,6
354.344,109.572,3.23,7
381.417,99.464,3.83,8
348.302,84.808,4.11,9
384.931,82.671,4.66,10
348.394,71.588,4.87,11
397.277,73.628,5.40,12
348.013,61.330,5.67,13
345.939,55.837,6.20,14
397.900,63.848,6.23,15
325.375,56.015,5.81,16
325.709,53.573,6.08,17
435.738,74.845,5.82,18
345.800,59.261,5.84,19
415.626,70.025,5.94,20
403.099,67.236,6.00,21
361.114,56.521,6.39,22
357.496,54.633,6.54,23
436.498,66.341,6.58,24
356.643,52.321,6.82,25
353.748,52.960,6.68,26
356.103,56.637,6.29,27
353.914,52.684,6.72,28
353.561,52.299,6.76,29
429.345,65.483,6.56,30
348.003,54.642,6.37,31
355.482,52.873,6.72,32
347.860,349.382,1.00,1
432.304,218.777,1.98,2
348.613,216.521,1.61,3
432.227,181.394,2.38,4
326.436,136.383,2.39,5
429.455,137.807,3.12,6
383.073,117.914,3.25,7
435.505,113.878,3.82,8
347.849,84.818,4.10,9
430.238,93.525,4.60,10
345.553,71.365,4.84,11
360.466,65.913,5.47,12
436.237,76.387,5.71,13
363.263,58.374,6.22,14
360.850,59.035,6.11,15
357.047,57.774,6.18,16
354.438,58.208,6.09,17
417.094,74.414,5.61,18
353.160,56.507,6.25,19
361.176,58.691,6.15,20
324.081,51.126,6.34,21
348.093,54.302,6.41,22
400.911,60.834,6.59,23
319.130,49.145,6.49,24
348.542,54.048,6.45,25
346.679,51.729,6.70,26
436.111,64.483,6.76,27
325.495,48.636,6.69,28
360.683,52.665,6.85,29
360.969,55.118,6.55,30
430.021,64.052,6.71,31
347.822,54.139,6.42,32
421.293,423.008,1.00,1
377.400,189.549,1.99,2
348.376,215.302,1.62,3
397.544,167.349,2.38,4
338.254,141.880,2.38,5
435.013,138.432,3.14,6
358.294,110.427,3.24,7
418.975,107.913,3.88,8
354.645,86.274,4.11,9
429.989,92.806,4.63,10
342.126,70.738,4.84,11
382.712,70.288,5.44,12
348.836,61.329,5.69,13
349.210,55.635,6.28,14
360.990,57.352,6.29,15
429.801,69.987,6.14,16
319.532,52.829,6.05,17
360.717,61.834,5.83,18
360.145,58.363,6.17,19
361.148,57.293,6.30,20
360.788,56.945,6.34,21
383.992,55.781,6.88,22
347.203,54.878,6.33,23
348.579,52.913,6.59,24
346.567,51.975,6.67,25
360.549,53.875,6.69,26
362.823,55.547,6.53,27
356.205,54.853,6.49,28
356.637,53.078,6.72,29
401.433,60.224,6.67,30
360.901,52.532,6.87,31
355.968,52.165,6.82,32
337.350,336.967,1.00,1
326.134,165.273,1.97,2
356.849,221.166,1.61,3
348.027,145.148,2.40,4
360.995,149.669,2.41,5
348.412,110.844,3.14,6
436.871,133.369,3.28,7
347.849,89.714,3.88,8
430.608,105.747,4.07,9
347.984,74.354,4.68,10
435.593,88.951,4.90,11
360.879,65.867,5.48,12
363.066,64.330,5.64,13
346.535,55.630,6.23,14
348.018,55.710,6.25,15
396.007,70.100,5.65,16
436.882,77.421,5.64,17
348.489,59.934,5.81,18
332.545,56.574,5.88,19
358.456,60.682,5.91,20
360.783,57.334,6.29,21
360.590,52.213,6.91,22
356.363,52.222,6.82,23
353.779,54.701,6.47,24
393.160,58.555,6.71,25
353.951,55.095,6.42,26
429.075,63.831,6.72,27
348.302,51.952,6.70,28
401.793,58.952,6.82,29
346.461,50.762,6.83,30
436.928,64.299,6.80,31
350.665,55.944,6.27,32
346.816,349.463,0.99,1
433.263,219.200,1.98,2
347.205,215.196,1.61,3
432.289,181.760,2.38,4
348.906,145.576,2.40,5
436.430,137.864,3.17,6
365.851,112.451,3.25,7
436.346,112.211,3.89,8
325.192,79.507,4.09,9
436.495,93.016,4.69,10
324.852,67.136,4.84,11
356.006,66.306,5.37,12
357.221,62.814,5.69,13
319.440,51.555,6.20,14
360.952,57.284,6.30,15
353.232,57.002,6.20,16
360.970,64.241,5.62,17
319.967,51.656,6.19,18
332.670,53.805,6.18,19
360.643,57.664,6.25,20
347.859,55.647,6.25,21
348.401,55.116,6.32,22
360.558,55.066,6.55,23
360.505,54.991,6.56,24
436.753,66.072,6.61,25
348.109,55.275,6.30,26
347.962,50.435,6.90,27
436.052,65.776,6.63,28
343.293,49.961,6.87,29
365.597,54.931,6.66,30
435.434,66.330,6.56,31
399.363,62.298,6.41,32
436.862,436.288,1.00,1
362.450,183.625,1.97,2
378.209,232.332,1.63,3
356.394,149.998,2.38,4
355.978,148.688,2.39,5
355.447,114.716,3.10,6
353.655,108.847,3.25,7
401.825,104.605,3.84,8
348.269,84.804,4.11,9
393.275,85.391,4.61,10
320.104,65.954,4.85,11
348.289,64.209,5.42,12
348.662,61.328,5.69,13
348.870,55.832,6.25,14
347.181,55.731,6.23,15
349.198,56.743,6.15,16
436.199,78.205,5.58,17
355.268,60.959,5.83,18
360.813,60.038,6.01,19
348.709,57.322,6.08,20
348.747,59.072,5.90,21
350.133,56.707,6.17,22
360.508,55.276,6.52,23
350.188,53.602,6.53,24
356.435,54.647,6.52,25
375.731,56.424,6.66,26
349.894,53.367,6.56,27
327.716,50.505,6.49,28
354.111,53.617,6.60,29
372.345,56.252,6.62,30
386.411,59.158,6.53,31
376.730,59.821,6.30,32
346.172,349.105,0.99,1
435.368,218.393,1.99,2
347.688,216.925,1.60,3
431.437,180.777,2.39,4
323.409,135.295,2.39,5
436.478,138.698,3.15,6
348.339,107.452,3.24,7
436.318,112.080,3.89,8
348.073,84.894,4.10,9
439.769,93.484,4.70,10
347.686,71.466,4.87,11
348.224,64.057,5.44,12
319.610,56.684,5.64,13
332.149,53.495,6.21,14
352.229,56.203,6.27,15
355.749,62.860,5.66,16
360.074,64.731,5.56,17
358.614,59.821,5.99,18
430.306,72.569,5.93,19
361.154,57.568,6.27,20
360.879,55.961,6.45,21
436.666,67.213,6.50,22
355.633,54.962,6.47,23
436.236,67.877,6.43,24
346.323,54.958,6.30,25
325.573,51.203,6.36,26
323.757,48.577,6.66,27
377.646,55.985,6.75,28
398.718,59.302,6.72,29
436.158,63.365,6.88,30
348.335,52.353,6.65,31
338.943,51.657,6.56,32
421.725,424.770,0.99,1
361.033,181.569,1.99,2
348.854,215.404,1.62,3
398.116,167.392,2.38,4
364.021,152.127,2.39,5
396.530,127.678,3.11,6
357.611,109.866,3.25,7
347.205,89.602,3.87,8
325.026,79.378,4.09,9
382.058,81.110,4.71,10
351.484,71.643,4.91,11
360.682,65.848,5.48,12
346.966,61.337,5.66,13
348.585,55.810,6.25,14
360.809,58.433,6.17,15
375.085,61.512,6.10,16
359.512,60.054,5.99,17
345.848,60.964,5.67,18
348.102,59.574,5.84,19
348.352,55.976,6.22,20
319.099,52.663,6.06,21
430.882,68.286,6.31,22
347.716,51.292,6.78,23
430.879,70.033,6.15,24
345.700,52.510,6.58,25
360.920,51.700,6.98,26
360.771,53.191,6.78,27
345.503,53.160,6.50,28
361.248,56.534,6.39,29
356.847,56.510,6.31,30
358.562,54.602,6.57,31
378.764,55.847,6.78,32
353.599,354.456,1.00,1
405.316,204.629,1.98,2
368.798,227.455,1.62,3
356.595,149.907,2.38,4
348.753,145.528,2.40,5
437.466,138.094,3.17,6
354.689,109.319,3.24,7
434.163,112.605,3.86,8
326.759,79.849,4.09,9
430.676,92.989,4.63,10
345.390,71.613,4.82,11
348.241,64.206,5.42,12
348.611,61.289,5.69,13
440.057,69.875,6.30,14
360.725,57.623,6.26,15
360.715,64.000,5.64,16
319.234,55.357,5.77,17
419.758,71.337,5.88,18
361.071,58.807,6.14,19
359.742,57.963,6.21,20
381.325,62.161,6.13,21
356.642,55.595,6.42,22
361.298,53.397,6.77,23
319.847,48.880,6.54,24
319.861,49.343,6.48,25
349.100,51.318,6.80,26
347.787,53.585,6.49,27
346.006,51.654,6.70,28
355.655,54.188,6.56,29
346.392,54.248,6.39,30
348.402,50.508,6.90,31
348.522,54.691,6.37,32
407.822,407.104,1.00,1
348.217,176.060,1.98,2
385.467,236.488,1.63,3
349.288,144.288,2.42,4
382.766,160.416,2.39,5
347.807,110.928,3.14,6
392.970,121.618,3.23,7
357.695,93.873,3.81,8
357.836,87.386,4.09,9
350.611,75.572,4.64,10
432.585,88.325,4.90,11
357.402,65.820,5.43,12
435.156,76.145,5.71,13
319.604,51.501,6.21,14
354.158,56.669,6.25,15
367.049,60.372,6.08,16
346.000,57.284,6.04,17
398.337,66.642,5.98,18
326.404,55.239,5.91,19
345.615,54.851,6.30,20
345.993,56.950,6.08,21
429.838,64.922,6.62,22
345.641,53.277,6.49,23
360.758,54.753,6.59,24
360.746,54.846,6.58,25
347.339,54.979,6.32,26
346.479,53.628,6.46,27
366.054,55.764,6.56,28
430.198,64.296,6.69,29
347.918,52.082,6.68,30
348.607,52.980,6.58,31
360.860,54.104,6.67,32
438.183,437.681,1.00,1
358.581,181.871,1.97,2
357.326,221.321,1.61,3
319.431,133.729,2.39,4
357.713,150.228,2.38,5
319.749,102.304,3.13,6
429.889,133.098,3.23,7
346.358,89.773,3.86,8
433.763,106.417,4.08,9
435.884,92.602,4.71,10
348.437,71.460,4.88,11
347.323,63.931,5.43,12
346.733,61.333,5.65,13
325.573,52.198,6.24,14
346.871,55.680,6.23,15
346.097,59.081,5.86,16
346.800,57.269,6.06,17
440.028,75.751,5.81,18
346.251,57.636,6.01,19
393.287,65.273,6.03,20
348.215,55.610,6.26,21
361.889,57.931,6.25,22
357.259,54.226,6.59,23
360.930,57.676,6.26,24
358.779,53.655,6.69,25
402.242,60.068,6.70,26
403.653,61.034,6.61,27
354.487,53.217,6.66,28
349.997,52.675,6.64,29
348.557,51.737,6.74,30
420.700,62.782,6.70,31
394.776,58.516,6.75,32
347.464,348.762,1.00,1
354.264,179.511,1.97,2
400.823,248.199,1.61,3
355.070,148.028,2.40,4
349.550,145.538,2.40,5
380.305,122.573,3.10,6
371.108,114.143,3.25,7
381.212,99.413,3.83,8
346.222,84.839,4.08,9
363.302,77.172,4.71,10
347.538,71.739,4.84,11
360.834,65.929,5.47,12
319.204,56.712,5.63,13
419.972,66.805,6.29,14
358.015,57.130,6.27,15
348.162,55.202,6.31,16
360.820,59.647,6.05,17
371.840,63.918,5.82,18
349.293,59.137,5.91,19
430.374,73.669,5.84,20
429.800,70.884,6.06,21
345.755,54.047,6.40,22
346.485,53.394,6.49,23
346.875,54.278,6.39,24
428.607,65.825,6.51,25
348.245,53.164,6.55,26
430.669,66.865,6.44,27
360.806,53.152,6.79,28
429.742,63.598,6.76,29
430.612,65.537,6.57,30
347.706,53.174,6.54,31
356.119,52.585,6.77,32
350.515,351.535,1.00,1
348.828,176.209,1.98,2
382.442,234.406,1.63,3
361.720,150.551,2.40,4
416.454,175.274,2.38,5
356.521,113.367,3.14,6
398.917,123.126,3.24,7
351.489,91.321,3.85,8
358.479,87.950,4.08,9
346.026,74.265,4.66,10
350.878,71.654,4.90,11
333.045,61.548,5.41,12
346.826,61.342,5.65,13
382.000,60.836,6.28,14
349.715,56.149,6.23,15
408.118,67.472,6.05,16
355.285,60.618,5.86,17
345.977,62.404,5.54,18
346.006,60.944,5.68,19
325.522,52.986,6.14,20
361.141,57.003,6.34,21
346.129,53.004,6.53,22
360.983,53.499,6.75,23
429.412,65.315,6.57,24
402.930,59.573,6.76,25
362.871,54.579,6.65,26
354.938,54.862,6.47,27
325.062,49.239,6.60,28
436.561,63.759,6.85,29
355.173,52.186,6.81,30
355.292,52.094,6.82,31
437.602,67.014,6.53,32
352.503,354.842,0.99,1
432.781,218.260,1.98,2
349.558,215.297,1.62,3
432.399,181.246,2.39,4
363.153,151.525,2.40,5
436.036,137.670,3.17,6
346.754,106.902,3.24,7
436.028,113.346,3.85,8
347.937,84.893,4.10,9
437.360,93.762,4.66,10
347.481,71.497,4.86,11
345.852,64.209,5.39,12
337.841,59.547,5.67,13
346.779,55.899,6.20,14
352.801,56.298,6.27,15
352.968,58.313,6.05,16
414.576,70.793,5.86,17
376.556,62.905,5.99,18
357.628,60.034,5.96,19
343.382,58.131,5.91,20
353.091,55.648,6.35,21
397.736,62.437,6.37,22
429.486,67.480,6.36,23
346.032,52.726,6.56,24
361.071,53.131,6.80,25
399.765,60.977,6.56,26
347.697,51.706,6.72,27
319.668,48.521,6.59,28
348.232,51.351,6.78,29
337.240,51.803,6.51,30
429.410,64.329,6.68,31
403.557,62.054,6.50,32
436.925,436.497,1.00,1
348.348,176.149,1.98,2
432.642,267.548,1.62,3
327.921,137.818,2.38,4
436.436,180.964,2.41,5
363.147,115.345,3.15,6
433.617,133.440,3.25,7
352.174,91.283,3.86,8
