serial,thread,speedup,nthreads
319.963,51.513,6.21,14
348.753,56.091,6.22,15
435.858,71.167,6.12,16
436.867,78.729,5.55,17
348.157,62.718,5.55,18
349.095,60.600,5.76,19
347.620,59.150,5.88,20
347.859,56.625,6.14,21
379.823,60.808,6.25,22
324.671,49.532,6.55,23
347.283,52.960,6.56,24
437.528,65.239,6.71,25
429.778,65.603,6.55,26
358.521,55.523,6.46,27
358.795,53.589,6.70,28
418.810,61.503,6.81,29
356.762,52.553,6.79,30
358.432,52.966,6.77,31
434.350,65.325,6.65,32
353.198,354.199,1.00,1
437.920,219.479,2.00,2
348.461,215.456,1.62,3
437.111,178.989,2.44,4
349.421,145.543,2.40,5
431.712,138.728,3.11,6
349.903,107.241,3.26,7
436.066,111.834,3.90,8
349.106,84.882,4.11,9
428.820,92.747,4.62,10
431.218,89.123,4.84,11
398.344,73.735,5.40,12
328.036,58.067,5.65,13
431.121,69.344,6.22,14
360.623,57.250,6.30,15
361.089,58.353,6.19,16
404.313,73.440,5.51,17
359.797,60.750,5.92,18
354.079,58.594,6.04,19
361.169,58.142,6.21,20
360.768,58.043,6.22,21
356.758,55.143,6.47,22
355.681,52.081,6.83,23
355.031,55.717,6.37,24
361.090,56.962,6.34,25
348.282,50.955,6.84,26
347.863,52.536,6.62,27
436.279,66.104,6.60,28
360.943,54.284,6.65,29
345.413,50.507,6.84,30
361.381,53.489,6.76,31
393.829,58.694,6.71,32
351.840,353.388,1.00,1
436.460,218.585,2.00,2
348.697,216.535,1.61,3
433.150,180.428,2.40,4
349.854,145.633,2.40,5
429.381,138.075,3.11,6
349.535,107.378,3.26,7
430.950,111.746,3.86,8
357.571,87.572,4.08,9
361.022,76.496,4.72,10
358.277,73.456,4.88,11
358.225,65.588,5.46,12
358.728,62.925,5.70,13
354.979,56.888,6.24,14
354.982,56.601,6.27,15
361.278,56.351,6.41,16
346.551,58.844,5.89,17
360.807,62.908,5.74,18
355.451,62.702,5.67,19
346.287,58.705,5.90,20
326.980,53.151,6.15,21
400.877,61.089,6.56,22
329.709,48.675,6.77,23
347.923,53.200,6.54,24
357.201,54.879,6.51,25
360.861,53.746,6.71,26
435.815,65.378,6.67,27
360.970,54.362,6.64,28
347.398,52.914,6.57,29
319.997,46.969,6.81,30
382.646,59.279,6.46,31
436.741,62.934,6.94,32
362.643,363.596,1.00,1
436.361,218.880,1.99,2
360.774,223.075,1.62,3
435.076,181.378,2.40,4
