# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cpu/mem-loads,ldlat=30/P'
# Total weight : 331385
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access             Symbol                                 Shared Object          Data Symbol                                Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency
# ........  ............  ............  ........................  .....................................  .....................  .........................................  .......................  ............  ......................  ......  ..........  ...................
#
     0.14%             1  466           L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.14%             1  466           L3 or L3 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.14%             1  462           L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.14%            10  46            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.14%            10  46            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.14%             1  457           L3 or L3 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               HitM          L1 or L2 hit            No       N/A        0                  
     0.14%             8  56            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.13%            12  37            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.13%             1  443           L3 or L3 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               HitM          L1 or L2 hit            No       N/A        0                  
     0.13%             1  441           LFB/MAB or LFB/MAB hit    [k] try_to_wake_up                     [kernel.vmlinux]       [k] 0xffff954f02d58014                     [unknown]                None          L1 or L2 hit            No       N/A        0                  
     0.13%            10  44            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.13%             1  437           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.13%             8  54            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.13%             9  48            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.13%             9  48            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.13%            10  43            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.13%            10  43            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.13%             1  424           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.13%            10  42            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.13%            10  42            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.13%            10  42            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.12%            10  41            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.12%             8  51            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.12%            11  37            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.12%            11  37            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.12%             1  400           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.12%             1  397           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.12%             9  44            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.12%             8  49            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.12%             1  390           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.12%             1  385           Local RAM or RAM hit      [k] pgd_alloc                          [kernel.vmlinux]       [k] init_top_pgt+0xbd8                     [kernel.vmlinux].data    Hit           L1 or L2 hit            No       N/A        0                  
     0.12%             8  48            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.12%             8  48            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.11%             1  381           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.11%            10  38            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171bf66ea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.11%             1  379           L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.11%             7  54            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.11%             9  42            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.11%             8  47            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.11%             1  372           LFB/MAB or LFB/MAB hit    [k] filemap_map_pages                  [kernel.vmlinux]       [k] 0xffffea3c09dac680                     [unknown]                None          L1 or L2 hit            No       N/A        0                  
     0.11%             1  371           Local RAM or RAM hit      [k] exc_nmi                            [kernel.vmlinux]       [k] 0xffff95522dcf28c4                     [unknown]                Hit           L1 or L2 hit            No       N/A        0                  
     0.11%             1  370           L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.11%             8  46            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.11%             8  46            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.11%             1  366           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.11%            11  33            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.11%            11  33            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.11%            11  33            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.11%             1  360           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.11%             8  45            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.11%             8  45            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.11%             2  178           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.11%             1  355           L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.11%             1  354           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.10%             1  347           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.10%             1  346           L1 or L1 hit              [k] _raw_spin_lock                     [kernel.vmlinux]       [k] 0xffff95522dc73100                     [unknown]                None          L1 or L2 hit            Yes      N/A        0                  
     0.10%             8  43            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.10%             7  49            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.10%             1  337           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.10%             7  48            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.10%             8  42            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.10%             1  334           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.10%             1  332           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.10%             6  55            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.10%             7  47            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.10%             7  47            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.10%             1  328           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.10%             2  164           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.10%             1  326           L3 or L3 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               HitM          L1 or L2 hit            No       N/A        0                  
     0.10%             2  163           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.10%             2  162           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.10%             6  54            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.10%             7  46            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.10%             1  320           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.10%            10  32            L1 or L1 hit              [.] step                               sum_scalar             [.] 0x00007f171bf66ea8                     anon                     None          L1 or L2 hit            No       N/A        0                  
     0.10%             7  45            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             1  314           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             1  312           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             6  52            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             7  44            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             1  305           L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             7  43            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             6  50            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             1  294           L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             1  294           Local RAM or RAM hit      [k] schedule                           [kernel.vmlinux]       [k] 0xffff954f00c24aa0                     [unknown]                Hit           L1 or L2 hit            No       N/A        0                  
     0.09%             6  49            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             6  49            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             7  42            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             7  42            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             1  293           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             6  48            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             6  48            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             7  41            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             7  41            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             5  57            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             5  57            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             1  284           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.09%             6  47            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             1  281           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             5  56            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             5  56            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             1  279           L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             1  278           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             1  276           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             1  275           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             1  273           Local RAM or RAM hit      [k] next_uptodate_page                 [kernel.vmlinux]       [k] 0xffffea3c04230580                     [unknown]                Hit           L1 or L2 hit            No       N/A        0                  
     0.08%             1  268           L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             2  134           L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             5  53            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             5  53            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             1  263           LFB/MAB or LFB/MAB hit    [k] psi_group_change                   [kernel.vmlinux]       [k] 0xffffd3ee3fd4480c                     [unknown]                None          L1 or L2 hit            No       N/A        0                  
     0.08%             1  262           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             1  260           L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             1  260           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             5  52            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             1  259           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             6  43            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             6  43            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             5  51            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             1  253           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             1  253           L3 or L3 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               HitM          L1 or L2 hit            No       N/A        0                  
     0.08%             1  252           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             6  42            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             1  250           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             5  50            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.08%             1  249           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             1  246           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             6  41            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             5  49            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             5  49            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             1  240           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             5  48            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             5  48            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             6  40            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             1  239           L3 or L3 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               HitM          L1 or L2 hit            No       N/A        0                  
     0.07%             1  238           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             1  235           L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             1  234           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             5  46            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             1  229           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             1  228           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             1  226           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             5  45            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             5  45            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             1  224           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             1  220           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             5  44            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             5  44            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             1  219           LFB/MAB or LFB/MAB hit    [k] psi_group_change                   [kernel.vmlinux]       [k] 0xffffd3ee3fda514c                     [unknown]                None          L1 or L2 hit            No       N/A        0                  
     0.07%             1  219           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             1  219           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             1  217           L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             1  217           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             1  216           L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             1  216           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.07%             4  54            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.06%             1  214           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.06%             1  214           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.06%             1  213           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.06%             1  212           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.06%             4  53            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.06%             4  53            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.06%             4  53            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.06%             4  53            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.06%             1  210           LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
