# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cpu/mem-loads,ldlat=30/P'
# Total weight : 331385
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access             Symbol                                 Shared Object          Data Symbol                                Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency
# ........  ............  ............  ........................  .....................................  .....................  .........................................  .......................  ............  ......................  ......  ..........  ...................
#
     0.54%            46  39            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.54%            56  32            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.54%            48  37            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.54%            48  37            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.53%            44  40            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.53%            55  32            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.53%            45  39            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.53%            50  35            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.52%            47  37            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.51%            46  37            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.51%            43  39            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.49%            46  35            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.48%            42  38            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.48%            45  35            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.48%            45  35            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.46%            40  38            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.46%            40  38            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.45%            43  35            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.45%            44  34            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.45%            39  38            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.45%            37  40            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.44%            46  32            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.44%            43  34            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.44%            44  33            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.43%            42  34            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.43%            42  34            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.42%            39  36            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.42%            43  32            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.41%            36  38            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.41%            33  41            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.41%            41  33            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.40%            37  36            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.40%            38  35            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.40%            28  47            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.39%            28  46            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.38%            32  39            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.38%            39  32            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.37%            36  34            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.37%            33  37            LFB/MAB or LFB/MAB hit    [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
